"Date","Industrial_Production_Index"
1999-01-01,61.4027506803976
1999-02-01,61.5384326700995
1999-03-01,61.809796649503
1999-04-01,62.2168426186084
1999-05-01,62.6722571469286
1999-06-01,63.1760402344635
1999-07-01,63.7281918812131
1999-08-01,64.3609283819907
1999-09-01,65.0742497367963
1999-10-01,65.8681559456299
1999-11-01,66.6473905386158
1999-12-01,67.4119535157543
2000-01-01,68.1618448770452
2000-02-01,68.528931559584
2000-03-01,68.5132135633708
2000-04-01,68.1146908884059
2000-05-01,68.0512395533602
2000-06-01,68.322859558234
2000-07-01,68.9295509030273
2000-08-01,69.487408061955
2000-09-01,69.9964310350176
2000-10-01,70.4566198222144
2000-11-01,70.9116571523529
2000-12-01,71.3615430254328
2001-01-01,71.806277441454
2001-02-01,71.7397879643687
2001-03-01,71.162074594177
2001-04-01,70.0731373308789
2001-05-01,69.239612516895
2001-06-01,68.6615001522259
2001-07-01,68.3388002368713
2001-08-01,67.9711900803791
2001-09-01,67.5586696827496
2001-10-01,67.1012390439825
2001-11-01,66.407432101304
2001-12-01,65.477248854714
2002-01-01,64.3106893042122
2002-02-01,63.9057399384276
2002-03-01,64.2624007573604
2002-04-01,65.3806717610102
2002-05-01,66.034270691165
2002-06-01,66.2231975478245
2002-07-01,65.9474523309888
2002-08-01,65.7119842785382
2002-09-01,65.5167933904729
2002-10-01,65.3618796667926
2002-11-01,65.2142064857781
2002-12-01,65.0737738474293
2003-01-01,64.9405817517463
2003-02-01,64.6570299140157
2003-03-01,64.2231183342381
2003-04-01,63.6388470124129
2003-05-01,63.7213139226469
2003-06-01,64.4705190649401
2003-07-01,65.8864624392924
2003-08-01,66.7513389534113
2003-09-01,67.0651486072962
2003-10-01,66.8278914009473
2003-11-01,66.8030610486495
2003-12-01,66.9906575504028
2004-01-01,67.3906809062071
2004-02-01,68.0301085655028
2004-03-01,68.9089405282898
2004-04-01,70.0271767945681
2004-05-01,70.1801907652117
2004-06-01,69.36798244022
2004-07-01,67.5905518195934
2004-08-01,66.4740952997415
2004-09-01,66.0186128806648
2004-10-01,66.2241045623629
2004-11-01,66.5033165610152
2004-12-01,66.8562488766218
2005-01-01,67.2829015091827
2005-02-01,67.5102385354357
2005-03-01,67.5382599553808
2005-04-01,67.366965769018
2005-05-01,67.3193153956638
2005-06-01,67.3953088353178
2005-07-01,67.5949460879806
2005-08-01,67.9686258351607
2005-09-01,68.5163480768584
2005-10-01,69.2381128130736
2005-11-01,69.821361887322
2005-12-01,70.2660952996038
2006-01-01,70.5723130499189
2006-02-01,70.9252927000584
2006-03-01,71.3250342500226
2006-04-01,71.7715376998114
2006-05-01,72.1344452874
2006-06-01,72.4137570127881
2006-07-01,72.609472875976
2006-08-01,73.3428421847908
2006-09-01,74.6138649392324
2006-10-01,76.422541139301
2006-11-01,77.3221668348422
2006-12-01,77.3127420258563
2007-01-01,76.3942667123429
2007-02-01,76.4459678497074
2007-03-01,77.4678454379495
2007-04-01,79.4598994770694
2007-05-01,80.9375108790473
2007-06-01,81.9006796438832
2007-07-01,82.349405771577
2007-08-01,82.3981179748177
2007-09-01,82.046816253605
2007-10-01,81.2955006079389
2007-11-01,80.8354662405682
2007-12-01,80.6667131514925
2008-01-01,80.7892413407121
2008-02-01,80.9273623824829
2008-03-01,81.0810762768048
2008-04-01,81.2503830236779
2008-05-01,81.3665824426377
2008-06-01,81.4296745336844
2008-07-01,81.4396592968179
2008-08-01,80.8744810149879
2008-09-01,79.7341396881941
2008-10-01,78.0186353164369
2008-11-01,76.5279052361698
2008-12-01,75.2619494473931
2009-01-01,74.2207679501065
2009-02-01,73.4364416132049
2009-03-01,72.9089704366883
2009-04-01,72.6383544205567
2009-05-01,72.7338971011063
2009-06-01,73.195598478337
2009-07-01,74.0234585522487
2009-08-01,74.6662046565401
2009-09-01,75.1238367912112
2009-10-01,75.396354956262
2009-11-01,76.0571007803283
2009-12-01,77.1060742634098
2010-01-01,78.5432754055067
2010-02-01,79.3831266369009
2010-03-01,79.6256279575923
2010-04-01,79.2707793675808
2010-05-01,78.7423051943922
2010-06-01,78.0402054380269
2010-07-01,77.1644800984846
2010-08-01,78.7099911897355
2010-09-01,82.67673871178
2010-10-01,77.1699191718941
2010-11-01,79.4947698552786
2010-12-01,82.6358909728273
2011-01-01,81.9042746969363
2011-02-01,81.0666052551215
2011-03-01,79.8268000479427
2011-04-01,79.7958432141698
2011-05-01,81.7123848934588
2011-06-01,80.2902718923714
2011-07-01,81.220921422117
2011-08-01,78.3103016457098
2011-09-01,82.0174969321734
2011-10-01,81.271157918788
2011-11-01,82.0387302344201
2011-12-01,82.4852718467918
2012-01-01,82.4019093938113
2012-02-01,82.028178791644
2012-03-01,81.3650718145446
2012-04-01,83.7183094715382
2012-05-01,81.3143341412968
2012-06-01,82.5110663871647
2012-07-01,81.538352979031
2012-08-01,81.6156129375967
2012-09-01,82.6411940833721
2012-10-01,82.9783150603191
2012-11-01,84.1813770536715
2012-12-01,83.1317178860093
2013-01-01,81.8953161661457
2013-02-01,83.5048374901316
2013-03-01,82.8929263437226
2013-04-01,82.0747428164463
2013-05-01,83.1347282257991
2013-06-01,83.5831989577547
2013-07-01,84.8140072954016
2013-08-01,84.09790228881
2013-09-01,84.1272304157885
2013-10-01,82.4911241583598
2013-11-01,84.746434309926
2013-12-01,85.0522115317144
2014-01-01,83.5100347458843
2014-02-01,84.2787840220328
2014-03-01,83.7515512320828
2014-04-01,84.4276211380288
2014-05-01,83.1024540912675
2014-06-01,87.2576147707037
2014-07-01,83.2297364482579
2014-08-01,84.006323550002
2014-09-01,84.3043100017401
2014-10-01,86.7299579734185
2014-11-01,86.5347611725517
2014-12-01,85.5196308540299
2015-01-01,85.8958358119226
2015-02-01,82.2941876698186
2015-03-01,81.6018265182587
2015-04-01,83.7063398586726
2015-05-01,84.0735911876563
2015-06-01,81.0127389536709
2015-07-01,83.1854266598144
2015-08-01,82.4937967557619
2015-09-01,83.6130365844235
2015-10-01,84.7602926416633
2015-11-01,84.109765386608
2015-12-01,82.1707519717286
2016-01-01,82.4720460782335
2016-02-01,85.6733827438345
2016-03-01,84.643901177932
2016-04-01,84.5526501498783
2016-05-01,83.6981806243134
2016-06-01,82.7899792258082
2016-07-01,81.5382477145426
2016-08-01,83.7470319814953
2016-09-01,82.7580203039622
2016-10-01,82.7414700303716
2016-11-01,82.9884411051925
2016-12-01,84.8113088644359
2017-01-01,88.089679016195
2017-02-01,84.0048046731654
2017-03-01,86.6898663106395
2017-04-01,84.7341955306938
2017-05-01,86.4898382894209
2017-06-01,86.5611361798855
2017-07-01,89.6415429810106
2017-08-01,89.9262888678197
2017-09-01,88.2090181511697
2017-10-01,88.7873104411542
2017-11-01,90.467336906807
2017-12-01,95.766182652039
2018-01-01,91.2798323029774
2018-02-01,92.8299310029246
2018-03-01,92.1600266940983
2018-04-01,92.6942985400172
2018-05-01,94.3904035333235
2018-06-01,94.1808979266595
2018-07-01,91.368463712104
2018-08-01,91.1546604386725
2018-09-01,90.9989358492237
2018-10-01,96.1760954766204
2018-11-01,96.1955251537323
2018-12-01,97.6366993696473
2019-01-01,96.221336350041
2019-02-01,95.8860533582122
2019-03-01,94.903420291747
2019-04-01,96.7152787457294
2019-05-01,97.1211469005487
2019-06-01,99.1694043537221
2019-07-01,98.3682815772276
2019-08-01,98.1017486822605
2019-09-01,99.2834997405121
2019-10-01,99.9853471854936
2019-11-01,98.5523658927805
2019-12-01,96.2166669217259
2020-01-01,98.7736659458696
2020-02-01,97.6628708723991
2020-03-01,92.0730431817312
2020-04-01,90.1634936840943
2020-05-01,86.441541843577
2020-06-01,89.9228544723286
2020-07-01,93.0443812365745
2020-08-01,94.0937923136886
2020-09-01,95.626196449737
2020-10-01,94.6825447442543
2020-11-01,98.0037183221612
2020-12-01,96.3229069335845
2021-01-01,98.7935744754624
2021-02-01,98.7649078000001
2021-03-01,102.441517724538
2021-04-01,105.486615773793
2021-05-01,101.941409421498
2021-06-01,102.06406480471
2021-07-01,104.429685669269
2021-08-01,102.172866750882
2021-09-01,100.641397579849
2021-10-01,99.4231014511895
2021-11-01,107.971401659657
2021-12-01,103.346546889153
2022-01-01,104.97098407647
2022-02-01,109.766741850648
2022-03-01,106.244784072881
2022-04-01,106.409028670725
2022-05-01,107.775584104724
2022-06-01,111.294147224551
2022-07-01,106.078674717614
2022-08-01,108.667689580097
2022-09-01,110.982205702289
2022-10-01,109.643852991182
2022-11-01,109.14082437206
2022-12-01,111.190332636758
2023-01-01,109.795971115076
2023-02-01,111.047098596775
2023-03-01,112.629040288149
2023-04-01,106.264986799886
2023-05-01,107.485691898607
2023-06-01,109.979531301507
2023-07-01,108.605691368758
2023-08-01,111.313978963044
2023-09-01,111.803889668197
2023-10-01,110.518108737668
2023-11-01,108.199699696769
2023-12-01,110.258051565563
2024-01-01,108.624598949777
2024-02-01,109.237143680697
2024-03-01,109.543416046157
2024-04-01,113.116593643189
2024-05-01,114.341683105028
2024-06-01,113.627047585622
